origin_id,destination_id,distance_km,time_min,gc_min
Z15,Z03,25.03,27.16,46.67
Z15,Z04,25.27,27.29,47.12
Z15,Z05,18.07,19.6,33.8
Z15,Z06,13.6,16.33,27.39
Z15,Z07,23.8,26.29,44.66
Z15,Z08,23.41,25.38,43.76
Z15,Z09,23.0,24.76,42.56
Z15,Z10,20.07,21.68,37.34
Z15,Z11,13.95,15.89,26.81
Z15,Z12,15.07,17.17,28.91
Z15,Z13,10.36,12.67,20.76
Z15,Z14,5.82,7.68,12.24
Z15,Z15,3.55,5.1,7.87
